CALLE,SUPERFICIE,PRECIOUSD,USDM2,ANTIG,BARRIO,COMUNA
BRASIL 1100,492,882000,1793,0,CONSTITUCION,1
BRASIL 1200,249,675000,2711,0,CONSTITUCION,1
BRASIL 1300,233,1100000,4721,40,CONSTITUCION,1
BRASIL 1500,83,82000,988,0,CONSTITUCION,1
BRASIL 900,212,219000,1033,60,CONSTITUCION,1
BRASIL 900,212,245000,1156,0,CONSTITUCION,1
"CEVALLOS, Virrey 1100",110,220000,2000,0,CONSTITUCION,1
"CEVALLOS, Virrey 1600",153,210000,1373,0,CONSTITUCION,1
COCHABAMBA 1700,52,65000,1250,60,CONSTITUCION,1
CONSTITUCION 1200,200,115000,575,80,CONSTITUCION,1
CONSTITUCION 1300,42,70000,1667,20,CONSTITUCION,1
ENTRE RIOS 1600,58,70000,1207,50,CONSTITUCION,1
ENTRE RIOS 1600,66,105000,1591,0,CONSTITUCION,1
ENTRE RIOS 2000,121,170000,1405,65,CONSTITUCION,1
ESTADOS UNIDOS 900,31,105000,3387,0,CONSTITUCION,1
"GARAY, JUAN DE 1201",1300,798000,614,1,CONSTITUCION,1
"GARAY, JUAN DE 1400",28,59000,2107,70,CONSTITUCION,1
INDEPENDENCIA 1700,99,600000,6061,0,CONSTITUCION,1
INDEPENDENCIA 1800,150,190000,1267,45,CONSTITUCION,1
INDEPENDENCIA 1800,164,220000,1341,70,CONSTITUCION,1
INDEPENDENCIA 1800,89,180000,2022,70,CONSTITUCION,1
"IRIGOYEN, BERNARDO DE 1000",139,156000,1122,70,CONSTITUCION,1
"IRIGOYEN, BERNARDO de 1000",142,173500,1222,70,CONSTITUCION,1
"IRIGOYEN, BERNARDO DE 1300",111,160000,1441,40,CONSTITUCION,1
"IRIGOYEN, BERNARDO de 1300",111,175000,1577,0,CONSTITUCION,1
"IRIGOYEN, BERNARDO de 1300",961,450000,468,40,CONSTITUCION,1
"IRIGOYEN, BERNARDO de 1500",332,345000,1039,0,CONSTITUCION,1
"IRIGOYEN, BERNARDO DE 1500",285,379000,1330,0,CONSTITUCION,1
"IRIGOYEN, BERNARDO DE 1500",82,75000,915,0,CONSTITUCION,1
SALTA 1000,80,175000,2188,0,CONSTITUCION,1
SALTA 1100,97,60000,619,50,CONSTITUCION,1
SALTA 1100,87,59900,689,10,CONSTITUCION,1
SAN JOSE 1300,257,300000,1167,70,CONSTITUCION,1
SAN JUAN 1300,90,120000,1333,30,CONSTITUCION,1
